[35manalyzer_1       |[0m 2023-01-03 11:51:00.153  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 7eaeef37-bd98-43b0-8ebf-043cf76b7317: (33126453261[2475,1537])(33126453262[3670,1209])
[35manalyzer_1       |[0m 2023-01-03 11:51:04.652  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job c9614408-89ab-4a02-97f8-16edb195509e: (33126453261[2477,1537])
[35manalyzer_1       |[0m 2023-01-03 11:51:14.957  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 6be9bc20-e5cd-4ea7-9118-015b34c1ae9e: (33126454632[661,570])(33126453161[1756,965])(33126454123[2699,177])(33126453126[2868,854])
[36;1manalyzer_3       |[0m 2023-01-03 11:46:37.896  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job e0c95395-c8b7-45ac-be82-f724139168e9: (33126454632[2932,338])
[36;1manalyzer_3       |[0m 2023-01-03 11:46:42.171  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job a6dc6099-90f3-46b9-b2ea-0c9fad8e6f33: (33126454632[2932,332])
[34manalyzer_2       |[0m 2023-01-03 11:48:16.070  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job a8a32043-c500-46f1-9cf4-fa73ce5fe753: (33126453626[1764,825])
[34manalyzer_2       |[0m 2023-01-03 11:48:37.591  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job a6c54b15-4e9e-40fc-bf8b-d231b8f34b71: (33126453261[2476,1537])
[34manalyzer_2       |[0m 2023-01-03 11:49:06.079  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 90509053-cdd0-42cc-ac80-69e5ea3cd8e8: (33126454132[242,425])(33126454131[1122,328])
[34manalyzer_2       |[0m 2023-01-03 11:49:18.947  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 88a3b578-f77d-46ae-992d-309d26b547a3: (33126454632[661,570])(33126453161[1756,965])(33126454123[2699,175])(33126453126[2867,852])
[34manalyzer_2       |[0m 2023-01-03 11:49:35.483  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 3b827ce3-e2fd-43e0-beed-0b95855aae30: (33126454632[19,608])(33126453126[608,1168])(33126454312[2918,1467])
[34manalyzer_2       |[0m 2023-01-03 11:50:02.852  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 9aa594f1-0af0-4235-89f1-58c2b3fd3b3e: (33126454132[241,427])(33126454131[1123,328])
[34manalyzer_2       |[0m 2023-01-03 11:50:11.084  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 5198fbea-e4d1-499c-b51e-6e02f4a6a302: (33126453261[2476,1537])(33126453262[3671,1209])
[34manalyzer_2       |[0m 2023-01-03 11:50:16.106  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job e3b29377-c2b5-4b9a-967a-d6ec75c55480: (33126454632[661,570])(33126453161[1756,965])(33126454123[2699,175])
[34manalyzer_2       |[0m 2023-01-03 11:50:24.500  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 14b37bc3-b479-4450-b3ff-26696861a12d: (33126453126[608,1168])(33126454312[2918,1469])
[34manalyzer_2       |[0m 2023-01-03 11:50:32.678  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 4b155c14-fc50-464b-a425-17492f148b96: (33126454632[2932,330])
[34manalyzer_2       |[0m 2023-01-03 11:50:40.934  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job cfff81dd-ca3a-4ef5-bdc2-b10dd511106c: (33126453626[1765,826])
[34manalyzer_2       |[0m 2023-01-03 11:51:01.823  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 0ab63c0d-b169-444b-85c5-3f3cdf4a3329: (33126454132[242,427])(33126454131[1122,328])
[34manalyzer_2       |[0m 2023-01-03 11:51:10.977  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 5866191e-5c1e-4641-971c-843fc244e615: (33126454632[19,602])(33126453126[606,1165])(33126454312[2919,1469])
